resistance,width1,length1,width2,length2,gate_voltage,drain_voltage,source_voltage,current_source_voltage,power,speed,gain,topology,gate_voltage_num,drain_voltage_num
,10u,90n,2u,90n,900m,200m,,,9.914e-09,950600.0,0.06153,CS_diode_load,0.9,0.2
,10u,90n,10u,90n,900m,200m,,,4.175e-08,4004000.0,0.061,CS_diode_load,0.9,0.2
,10u,90n,50u,90n,900m,200m,,,3.991e-07,38280000.0,0.06237,CS_diode_load,0.9,0.2
,50u,90n,2u,90n,900m,200m,,,1.002e-08,180500.0,0.05846,CS_diode_load,0.9,0.2
,50u,90n,10u,90n,900m,200m,,,4.18e-08,753200.0,0.05739,CS_diode_load,0.9,0.2
,50u,90n,50u,90n,900m,200m,,,4.017e-07,7238000.0,0.05867,CS_diode_load,0.9,0.2
,2u,90n,2u,90n,400m,300m,,,1.974e-07,721500000.0,0.663,CS_diode_load,0.4,0.3
,2u,90n,10u,90n,400m,300m,,,5.527e-07,2126000000.0,0.6426,CS_diode_load,0.4,0.3
,2u,90n,50u,90n,400m,300m,,,1.135e-06,5072000000.0,0.6401,CS_diode_load,0.4,0.3
,10u,90n,2u,90n,400m,300m,,,2.286e-07,169200000.0,0.6802,CS_diode_load,0.4,0.3
,10u,90n,10u,90n,400m,300m,,,8.624e-07,647800000.0,0.6667,CS_diode_load,0.4,0.3
,10u,90n,50u,90n,400m,300m,,,3.459e-06,2863000000.0,0.6717,CS_diode_load,0.4,0.3
,50u,90n,2u,90n,400m,300m,,,2.385e-07,32050000.0,0.6428,CS_diode_load,0.4,0.3
,50u,90n,10u,90n,400m,300m,,,1.018e-06,137100000.0,0.6341,CS_diode_load,0.4,0.3
,50u,90n,50u,90n,400m,300m,,,7.501e-06,1030000000.0,0.6557,CS_diode_load,0.4,0.3
,2u,90n,2u,90n,500m,300m,,,2.258e-07,452600000.0,0.4358,CS_diode_load,0.5,0.3
,2u,90n,10u,90n,500m,300m,,,8.269e-07,1686000000.0,0.4276,CS_diode_load,0.5,0.3
,2u,90n,50u,90n,500m,300m,,,3.206e-06,7202000000.0,0.4362,CS_diode_load,0.5,0.3
,10u,90n,2u,90n,500m,300m,,,2.365e-07,96720000.0,0.4451,CS_diode_load,0.5,0.3
,10u,90n,10u,90n,500m,300m,,,9.864e-07,405100000.0,0.4392,CS_diode_load,0.5,0.3
,10u,90n,50u,90n,500m,300m,,,6.254e-06,2661000000.0,0.4521,CS_diode_load,0.5,0.3
,50u,90n,2u,90n,500m,300m,,,2.396e-07,17990000.0,0.4155,CS_diode_load,0.5,0.3
,50u,90n,10u,90n,500m,300m,,,1.037e-06,77930000.0,0.4101,CS_diode_load,0.5,0.3
,50u,90n,50u,90n,500m,300m,,,8.623e-06,651700000.0,0.4272,CS_diode_load,0.5,0.3
,2u,90n,2u,90n,600m,300m,,,2.332e-07,267300000.0,0.2672,CS_diode_load,0.6,0.3
,2u,90n,10u,90n,600m,300m,,,9.302e-07,1073000000.0,0.2624,CS_diode_load,0.6,0.3
,2u,90n,50u,90n,600m,300m,,,4.872e-06,5855000000.0,0.2662,CS_diode_load,0.6,0.3
,10u,90n,2u,90n,600m,300m,,,2.385e-07,55860000.0,0.2733,CS_diode_load,0.6,0.3
,10u,90n,10u,90n,600m,300m,,,1.018e-06,238800000.0,0.2696,CS_diode_load,0.6,0.3
,10u,90n,50u,90n,600m,300m,,,7.57e-06,1799000000.0,0.2786,CS_diode_load,0.6,0.3
,50u,90n,2u,90n,600m,300m,,,2.399e-07,10340000.0,0.2534,CS_diode_load,0.6,0.3
,50u,90n,10u,90n,600m,300m,,,1.042e-06,44960000.0,0.2502,CS_diode_load,0.6,0.3
,50u,90n,50u,90n,600m,300m,,,8.934e-06,386200000.0,0.2607,CS_diode_load,0.6,0.3
,2u,90n,2u,90n,700m,300m,,,2.358e-07,164000000.0,0.167,CS_diode_load,0.7000000000000001,0.3
,2u,90n,10u,90n,700m,300m,,,9.713e-07,677800000.0,0.1643,CS_diode_load,0.7000000000000001,0.3
,2u,90n,50u,90n,700m,300m,,,5.861e-06,4184000000.0,0.1669,CS_diode_load,0.7000000000000001,0.3
,10u,90n,2u,90n,700m,300m,,,2.391e-07,33900000.0,0.1703,CS_diode_load,0.7000000000000001,0.3
,10u,90n,10u,90n,700m,300m,,,1.027e-06,145700000.0,0.1678,CS_diode_load,0.7000000000000001,0.3
,10u,90n,50u,90n,700m,300m,,,8.123e-06,1160000000.0,0.1741,CS_diode_load,0.7000000000000001,0.3
,50u,90n,2u,90n,700m,300m,,,2.4e-07,6320000.0,0.1588,CS_diode_load,0.7000000000000001,0.3
,50u,90n,10u,90n,700m,300m,,,1.044e-06,27500000.0,0.1567,CS_diode_load,0.7000000000000001,0.3
,50u,90n,50u,90n,700m,300m,,,9.043e-06,238500000.0,0.1634,CS_diode_load,0.7000000000000001,0.3
,2u,90n,2u,90n,800m,300m,,,2.369e-07,107900000.0,0.1109,CS_diode_load,0.8,0.3
,2u,90n,10u,90n,800m,300m,,,9.899e-07,452000000.0,0.1092,CS_diode_load,0.8,0.3
,2u,90n,50u,90n,800m,300m,,,6.443e-06,2988000000.0,0.1113,CS_diode_load,0.8,0.3
,10u,90n,2u,90n,800m,300m,,,2.394e-07,22160000.0,0.1128,CS_diode_load,0.8,0.3
,10u,90n,10u,90n,800m,300m,,,1.034e-06,95760000.0,0.1113,CS_diode_load,0.8,0.3
,10u,90n,50u,90n,800m,300m,,,8.39e-06,780500000.0,0.1154,CS_diode_load,0.8,0.3
,50u,90n,2u,90n,800m,300m,,,2.401e-07,4159000.0,0.1057,CS_diode_load,0.8,0.3
,50u,90n,10u,90n,800m,300m,,,1.045e-06,18100000.0,0.1044,CS_diode_load,0.8,0.3
,50u,90n,50u,90n,800m,300m,,,9.093e-06,157700000.0,0.1089,CS_diode_load,0.8,0.3
,2u,90n,2u,90n,900m,300m,,,2.375e-07,74920000.0,0.07735,CS_diode_load,0.9,0.3
