resistance,width1,length1,width2,length2,gate_voltage,drain_voltage,source_voltage,current_source_voltage,power,speed,gain,topology,gate_voltage_num,drain_voltage_num
,2u,90n,50u,90n,600m,400m,,400m,1.358e-08,11700000.0,0.0002716,CS_Current_source_load,0.6,0.4
,3.42u,90n,2u,90n,600m,400m,,400m,6.22e-10,319200.0,7.664e-06,CS_Current_source_load,0.6,0.4
,3.42u,90n,10u,90n,600m,400m,,400m,3.224e-09,1644000.0,3.948e-05,CS_Current_source_load,0.6,0.4
,3.42u,90n,50u,90n,600m,400m,,400m,1.358e-08,6923000.0,0.0001663,CS_Current_source_load,0.6,0.4
,5.848u,90n,2u,90n,600m,400m,,400m,6.22e-10,189000.0,4.645e-06,CS_Current_source_load,0.6,0.4
,5.848u,90n,10u,90n,600m,400m,,400m,3.224e-09,969000.0,2.382e-05,CS_Current_source_load,0.6,0.4
,5.848u,90n,50u,90n,600m,400m,,400m,1.358e-08,4079000.0,0.0001003,CS_Current_source_load,0.6,0.4
,10u,90n,2u,90n,600m,400m,,400m,6.22e-10,112000.0,2.795e-06,CS_Current_source_load,0.6,0.4
,10u,90n,10u,90n,600m,400m,,400m,3.224e-09,570300.0,1.424e-05,CS_Current_source_load,0.6,0.4
,10u,90n,50u,90n,600m,400m,,400m,1.358e-08,2397000.0,5.983e-05,CS_Current_source_load,0.6,0.4
,17.1u,90n,2u,90n,600m,400m,,400m,6.22e-10,63900.0,1.372e-06,CS_Current_source_load,0.6,0.4
,17.1u,90n,10u,90n,600m,400m,,400m,3.224e-09,321600.0,6.904e-06,CS_Current_source_load,0.6,0.4
,17.1u,90n,50u,90n,600m,400m,,400m,1.358e-08,1348000.0,2.894e-05,CS_Current_source_load,0.6,0.4
,29.24u,90n,2u,90n,600m,400m,,400m,6.22e-10,37560.0,7.498e-07,CS_Current_source_load,0.6,0.4
,29.24u,90n,10u,90n,600m,400m,,400m,3.224e-09,185300.0,3.698e-06,CS_Current_source_load,0.6,0.4
,29.24u,90n,50u,90n,600m,400m,,400m,1.358e-08,773800.0,1.544e-05,CS_Current_source_load,0.6,0.4
,50u,90n,2u,90n,600m,400m,,400m,6.22e-10,22400.0,4.136e-07,CS_Current_source_load,0.6,0.4
,50u,90n,10u,90n,600m,400m,,400m,3.224e-09,106800.0,1.973e-06,CS_Current_source_load,0.6,0.4
,50u,90n,50u,90n,600m,400m,,400m,1.358e-08,443300.0,8.186e-06,CS_Current_source_load,0.6,0.4
,2u,90n,2u,90n,700m,400m,,400m,6.22e-10,327600.0,4.828e-06,CS_Current_source_load,0.7000000000000001,0.4
,2u,90n,10u,90n,700m,400m,,400m,3.224e-09,1688000.0,2.488e-05,CS_Current_source_load,0.7000000000000001,0.4
,2u,90n,50u,90n,700m,400m,,400m,1.358e-08,7110000.0,0.0001048,CS_Current_source_load,0.7000000000000001,0.4
,3.42u,90n,2u,90n,700m,400m,,400m,6.22e-10,194400.0,2.951e-06,CS_Current_source_load,0.7000000000000001,0.4
,3.42u,90n,10u,90n,700m,400m,,400m,3.224e-09,998100.0,1.515e-05,CS_Current_source_load,0.7000000000000001,0.4
,3.42u,90n,50u,90n,700m,400m,,400m,1.358e-08,4200000.0,6.374e-05,CS_Current_source_load,0.7000000000000001,0.4
,5.848u,90n,2u,90n,700m,400m,,400m,6.22e-10,115400.0,1.787e-06,CS_Current_source_load,0.7000000000000001,0.4
,5.848u,90n,10u,90n,700m,400m,,400m,3.224e-09,588200.0,9.114e-06,CS_Current_source_load,0.7000000000000001,0.4
,5.848u,90n,50u,90n,700m,400m,,400m,1.358e-08,2472000.0,3.831e-05,CS_Current_source_load,0.7000000000000001,0.4
,10u,90n,2u,90n,700m,400m,,400m,6.22e-10,68660.0,1.079e-06,CS_Current_source_load,0.7000000000000001,0.4
,10u,90n,10u,90n,700m,400m,,400m,3.224e-09,346200.0,5.439e-06,CS_Current_source_load,0.7000000000000001,0.4
,10u,90n,50u,90n,700m,400m,,400m,1.358e-08,1452000.0,2.281e-05,CS_Current_source_load,0.7000000000000001,0.4
,17.1u,90n,2u,90n,700m,400m,,400m,6.22e-10,39700.0,5.446e-07,CS_Current_source_load,0.7000000000000001,0.4
,17.1u,90n,10u,90n,700m,400m,,400m,3.224e-09,196400.0,2.694e-06,CS_Current_source_load,0.7000000000000001,0.4
,17.1u,90n,50u,90n,700m,400m,,400m,1.358e-08,820700.0,1.126e-05,CS_Current_source_load,0.7000000000000001,0.4
,29.24u,90n,2u,90n,700m,400m,,400m,6.22e-10,23730.0,3.049e-07,CS_Current_source_load,0.7000000000000001,0.4
,29.24u,90n,10u,90n,700m,400m,,400m,3.224e-09,113700.0,1.462e-06,CS_Current_source_load,0.7000000000000001,0.4
,29.24u,90n,50u,90n,700m,400m,,400m,1.358e-08,472300.0,6.071e-06,CS_Current_source_load,0.7000000000000001,0.4
,50u,90n,2u,90n,700m,400m,,400m,6.22e-10,14510.0,1.74e-07,CS_Current_source_load,0.7000000000000001,0.4
,50u,90n,10u,90n,700m,400m,,400m,3.224e-09,65980.0,7.913e-07,CS_Current_source_load,0.7000000000000001,0.4
,50u,90n,50u,90n,700m,400m,,400m,1.358e-08,271400.0,3.255e-06,CS_Current_source_load,0.7000000000000001,0.4
,2u,90n,2u,90n,800m,400m,,400m,6.22e-10,215500.0,2.361e-06,CS_Current_source_load,0.8,0.4
,2u,90n,10u,90n,800m,400m,,400m,3.224e-09,1107000.0,1.213e-05,CS_Current_source_load,0.8,0.4
,2u,90n,50u,90n,800m,400m,,400m,1.358e-08,4660000.0,5.106e-05,CS_Current_source_load,0.8,0.4
,3.42u,90n,2u,90n,800m,400m,,400m,6.22e-10,128000.0,1.441e-06,CS_Current_source_load,0.8,0.4
,3.42u,90n,10u,90n,800m,400m,,400m,3.224e-09,653700.0,7.359e-06,CS_Current_source_load,0.8,0.4
,3.42u,90n,50u,90n,800m,400m,,400m,1.358e-08,2748000.0,3.094e-05,CS_Current_source_load,0.8,0.4
,5.848u,90n,2u,90n,800m,400m,,400m,6.22e-10,76210.0,8.745e-07,CS_Current_source_load,0.8,0.4
,5.848u,90n,10u,90n,800m,400m,,400m,3.224e-09,385200.0,4.42e-06,CS_Current_source_load,0.8,0.4
,5.848u,90n,50u,90n,800m,400m,,400m,1.358e-08,1616000.0,1.855e-05,CS_Current_source_load,0.8,0.4
,10u,90n,2u,90n,800m,400m,,400m,6.22e-10,45670.0,5.307e-07,CS_Current_source_load,0.8,0.4
,10u,90n,10u,90n,800m,400m,,400m,3.224e-09,227000.0,2.638e-06,CS_Current_source_load,0.8,0.4
,10u,90n,50u,90n,800m,400m,,400m,1.358e-08,949300.0,1.103e-05,CS_Current_source_load,0.8,0.4
,17.1u,90n,2u,90n,800m,400m,,400m,6.22e-10,26830.0,2.748e-07,CS_Current_source_load,0.8,0.4
,17.1u,90n,10u,90n,800m,400m,,400m,3.224e-09,129400.0,1.326e-06,CS_Current_source_load,0.8,0.4
,17.1u,90n,50u,90n,800m,400m,,400m,1.358e-08,538500.0,5.516e-06,CS_Current_source_load,0.8,0.4
,29.24u,90n,2u,90n,800m,400m,,400m,6.22e-10,16380.0,1.579e-07,CS_Current_source_load,0.8,0.4
,29.24u,90n,10u,90n,800m,400m,,400m,3.224e-09,75470.0,7.277e-07,CS_Current_source_load,0.8,0.4
,29.24u,90n,50u,90n,800m,400m,,400m,1.358e-08,310900.0,2.998e-06,CS_Current_source_load,0.8,0.4
,50u,90n,2u,90n,800m,400m,,400m,6.22e-10,10330.0,9.347e-08,CS_Current_source_load,0.8,0.4
,50u,90n,10u,90n,800m,400m,,400m,3.224e-09,44270.0,4.003e-07,CS_Current_source_load,0.8,0.4
,50u,90n,50u,90n,800m,400m,,400m,1.358e-08,179500.0,1.623e-06,CS_Current_source_load,0.8,0.4
,2u,90n,2u,90n,900m,400m,,400m,6.22e-10,150000.0,1.341e-06,CS_Current_source_load,0.9,0.4
,2u,90n,10u,90n,900m,400m,,400m,3.224e-09,767500.0,6.861e-06,CS_Current_source_load,0.9,0.4
,2u,90n,50u,90n,900m,400m,,400m,1.358e-08,3227000.0,2.885e-05,CS_Current_source_load,0.9,0.4
,3.42u,90n,2u,90n,900m,400m,,400m,6.22e-10,89320.0,8.192e-07,CS_Current_source_load,0.9,0.4
,3.42u,90n,10u,90n,900m,400m,,400m,3.224e-09,452800.0,4.153e-06,CS_Current_source_load,0.9,0.4
,3.42u,90n,50u,90n,900m,400m,,400m,1.358e-08,1901000.0,1.744e-05,CS_Current_source_load,0.9,0.4
,5.848u,90n,2u,90n,900m,400m,,400m,6.22e-10,53460.0,4.994e-07,CS_Current_source_load,0.9,0.4
,5.848u,90n,10u,90n,900m,400m,,400m,3.224e-09,266600.0,2.491e-06,CS_Current_source_load,0.9,0.4
,5.848u,90n,50u,90n,900m,400m,,400m,1.358e-08,1118000.0,1.044e-05,CS_Current_source_load,0.9,0.4
,10u,90n,2u,90n,900m,400m,,400m,6.22e-10,32290.0,3.053e-07,CS_Current_source_load,0.9,0.4
,10u,90n,10u,90n,900m,400m,,400m,3.224e-09,157500.0,1.49e-06,CS_Current_source_load,0.9,0.4
,10u,90n,50u,90n,900m,400m,,400m,1.358e-08,656300.0,6.206e-06,CS_Current_source_load,0.9,0.4
,17.1u,90n,2u,90n,900m,400m,,400m,6.22e-10,19360.0,1.623e-07,CS_Current_source_load,0.9,0.4
,17.1u,90n,10u,90n,900m,400m,,400m,3.224e-09,90430.0,7.58e-07,CS_Current_source_load,0.9,0.4
,17.1u,90n,50u,90n,900m,400m,,400m,1.358e-08,373500.0,3.131e-06,CS_Current_source_load,0.9,0.4
,29.24u,90n,2u,90n,900m,400m,,400m,6.22e-10,12130.0,9.601e-08,CS_Current_source_load,0.9,0.4
,29.24u,90n,10u,90n,900m,400m,,400m,3.224e-09,53060.0,4.199e-07,CS_Current_source_load,0.9,0.4
,29.24u,90n,50u,90n,900m,400m,,400m,1.358e-08,216100.0,1.711e-06,CS_Current_source_load,0.9,0.4
,50u,90n,2u,90n,900m,400m,,400m,6.22e-10,7936.0,5.911e-08,CS_Current_source_load,0.9,0.4
,50u,90n,10u,90n,900m,400m,,400m,3.224e-09,31460.0,2.343e-07,CS_Current_source_load,0.9,0.4
,50u,90n,50u,90n,900m,400m,,400m,1.358e-08,125200.0,9.325e-07,CS_Current_source_load,0.9,0.4
,2u,90n,2u,90n,700m,660.4m,,400m,6e-06,1917000000.0,0.02912,CS_Current_source_load,0.7000000000000001,0.6604
,2u,90n,10u,90n,700m,660.4m,,400m,2.8e-05,9423000000.0,0.1625,CS_Current_source_load,0.7000000000000001,0.6604
,2u,90n,50u,90n,700m,660.4m,,400m,0.000104,52850000000.0,3.067,CS_Current_source_load,0.7000000000000001,0.6604
,3.42u,90n,2u,90n,700m,660.4m,,400m,6.012e-06,1129000000.0,0.01745,CS_Current_source_load,0.7000000000000001,0.6604
,3.42u,90n,10u,90n,700m,660.4m,,400m,2.829e-05,5470000000.0,0.09096,CS_Current_source_load,0.7000000000000001,0.6604
,3.42u,90n,50u,90n,700m,660.4m,,400m,0.0001136,26350000000.0,0.6615,CS_Current_source_load,0.7000000000000001,0.6604
,5.848u,90n,2u,90n,700m,660.4m,,400m,6.02e-06,663100000.0,0.01039,CS_Current_source_load,0.7000000000000001,0.6604
,5.848u,90n,10u,90n,700m,660.4m,,400m,2.846e-05,3189000000.0,0.05212,CS_Current_source_load,0.7000000000000001,0.6604
,5.848u,90n,50u,90n,700m,660.4m,,400m,0.0001176,14380000000.0,0.2885,CS_Current_source_load,0.7000000000000001,0.6604
,10u,90n,2u,90n,700m,660.4m,,400m,6.024e-06,388900000.0,0.006148,CS_Current_source_load,0.7000000000000001,0.6604
,10u,90n,10u,90n,700m,660.4m,,400m,2.857e-05,1862000000.0,0.03018,CS_Current_source_load,0.7000000000000001,0.6604
,10u,90n,50u,90n,700m,660.4m,,400m,0.0001197,8167000000.0,0.1479,CS_Current_source_load,0.7000000000000001,0.6604
,17.1u,90n,2u,90n,700m,660.4m,,400m,6.027e-06,219300000.0,0.003019,CS_Current_source_load,0.7000000000000001,0.6604
,17.1u,90n,10u,90n,700m,660.4m,,400m,2.864e-05,1047000000.0,0.01459,CS_Current_source_load,0.7000000000000001,0.6604
,17.1u,90n,50u,90n,700m,660.4m,,400m,0.0001211,4525000000.0,0.06655,CS_Current_source_load,0.7000000000000001,0.6604
,29.24u,90n,2u,90n,700m,660.4m,,400m,6.029e-06,125900000.0,0.001622,CS_Current_source_load,0.7000000000000001,0.6604
,29.24u,90n,10u,90n,700m,660.4m,,400m,2.867e-05,600500000.0,0.007785,CS_Current_source_load,0.7000000000000001,0.6604
,29.24u,90n,50u,90n,700m,660.4m,,400m,0.0001217,2579000000.0,0.03441,CS_Current_source_load,0.7000000000000001,0.6604
