resistance,width1,length1,width2,length2,gate_voltage,drain_voltage,source_voltage,current_source_voltage,power,speed,gain,topology,gate_voltage_num,source_voltage_num
500,2u,90n,,,500m,,500m,,1.641e-05,28940000000.0,0.1771,CD_resistive_bias,0.5,0.5
500,3.168u,90n,,,500m,,500m,,2.48e-05,27830000000.0,0.2465,CD_resistive_bias,0.5,0.5
500,5.017u,90n,,,500m,,500m,,3.778e-05,26920000000.0,0.3337,CD_resistive_bias,0.5,0.5
500,7.946u,90n,,,500m,,500m,,5.773e-05,26110000000.0,0.4346,CD_resistive_bias,0.5,0.5
500,12.58u,90n,,,500m,,500m,,0.0001082,30010000000.0,0.5847,CD_resistive_bias,0.5,0.5
500,19.93u,90n,,,500m,,500m,,0.0001611,28480000000.0,0.6789,CD_resistive_bias,0.5,0.5
500,31.57u,90n,,,500m,,500m,,0.0002687,29500000000.0,0.7772,CD_resistive_bias,0.5,0.5
500,50u,90n,,,500m,,500m,,0.0003724,25050000000.0,0.8264,CD_resistive_bias,0.5,0.5
500,2u,90n,,,600m,,200m,,1.422e-05,38090000000.0,0.2335,CD_resistive_bias,0.6,0.2
500,3.168u,90n,,,600m,,200m,,2.087e-05,34540000000.0,0.3055,CD_resistive_bias,0.6,0.2
500,5.017u,90n,,,600m,,200m,,2.985e-05,29660000000.0,0.3771,CD_resistive_bias,0.6,0.2
500,7.946u,90n,,,600m,,200m,,4.05e-05,23510000000.0,0.4368,CD_resistive_bias,0.6,0.2
500,12.58u,90n,,,600m,,200m,,5.463e-05,17120000000.0,0.4809,CD_resistive_bias,0.6,0.2
500,19.93u,90n,,,600m,,200m,,6.261e-05,11740000000.0,0.5052,CD_resistive_bias,0.6,0.2
500,31.57u,90n,,,600m,,200m,,6.982e-05,7616000000.0,0.5149,CD_resistive_bias,0.6,0.2
500,50u,90n,,,600m,,200m,,7.361e-05,4922000000.0,0.5218,CD_resistive_bias,0.6,0.2
500,2u,90n,,,600m,,300m,,2.442e-05,46100000000.0,0.2664,CD_resistive_bias,0.6,0.3
500,3.168u,90n,,,600m,,300m,,3.654e-05,43900000000.0,0.354,CD_resistive_bias,0.6,0.3
500,5.017u,90n,,,600m,,300m,,5.44e-05,41230000000.0,0.4497,CD_resistive_bias,0.6,0.3
500,7.946u,90n,,,600m,,300m,,7.912e-05,36630000000.0,0.537,CD_resistive_bias,0.6,0.3
500,12.58u,90n,,,600m,,300m,,0.0001172,27850000000.0,0.5926,CD_resistive_bias,0.6,0.3
500,19.93u,90n,,,600m,,300m,,0.0001382,18640000000.0,0.6139,CD_resistive_bias,0.6,0.3
500,31.57u,90n,,,600m,,300m,,0.0001562,11760000000.0,0.6195,CD_resistive_bias,0.6,0.3
500,50u,90n,,,600m,,300m,,0.0001652,7509000000.0,0.624,CD_resistive_bias,0.6,0.3
500,2u,90n,,,600m,,400m,,3.553e-05,50000000000.0,0.282,CD_resistive_bias,0.6,0.4
500,3.168u,90n,,,600m,,400m,,5.337e-05,47930000000.0,0.3734,CD_resistive_bias,0.6,0.4
500,5.017u,90n,,,600m,,400m,,8.005e-05,45810000000.0,0.4743,CD_resistive_bias,0.6,0.4
500,7.946u,90n,,,600m,,400m,,0.0001187,43130000000.0,0.5741,CD_resistive_bias,0.6,0.4
500,12.58u,90n,,,600m,,400m,,0.0001932,39790000000.0,0.6677,CD_resistive_bias,0.6,0.4
500,19.93u,90n,,,600m,,400m,,0.0002394,26720000000.0,0.6891,CD_resistive_bias,0.6,0.4
500,31.57u,90n,,,600m,,400m,,0.0002759,16240000000.0,0.6901,CD_resistive_bias,0.6,0.4
500,50u,90n,,,600m,,400m,,0.000293,10200000000.0,0.6919,CD_resistive_bias,0.6,0.4
500,2u,90n,,,600m,,500m,,4.758e-05,53120000000.0,0.2942,CD_resistive_bias,0.6,0.5
500,3.168u,90n,,,600m,,500m,,7.169e-05,51060000000.0,0.3881,CD_resistive_bias,0.6,0.5
500,5.017u,90n,,,600m,,500m,,0.0001079,48980000000.0,0.4907,CD_resistive_bias,0.6,0.5
500,7.946u,90n,,,600m,,500m,,0.0001611,46610000000.0,0.5922,CD_resistive_bias,0.6,0.5
500,12.58u,90n,,,600m,,500m,,0.0002716,47680000000.0,0.7034,CD_resistive_bias,0.6,0.5
500,19.93u,90n,,,600m,,500m,,0.0003596,36060000000.0,0.7441,CD_resistive_bias,0.6,0.5
500,31.57u,90n,,,600m,,500m,,0.0004277,21180000000.0,0.7413,CD_resistive_bias,0.6,0.5
500,50u,90n,,,600m,,500m,,0.0004569,13040000000.0,0.7406,CD_resistive_bias,0.6,0.5
500,2u,90n,,,600m,,600m,,6.042e-05,55780000000.0,0.3043,CD_resistive_bias,0.6,0.6
500,3.168u,90n,,,600m,,600m,,9.126e-05,53720000000.0,0.4,CD_resistive_bias,0.6,0.6
500,5.017u,90n,,,600m,,600m,,0.0001379,51680000000.0,0.5039,CD_resistive_bias,0.6,0.6
500,7.946u,90n,,,600m,,600m,,0.0002068,49380000000.0,0.6059,CD_resistive_bias,0.6,0.6
500,12.58u,90n,,,600m,,600m,,0.0003535,51820000000.0,0.7196,CD_resistive_bias,0.6,0.6
500,19.93u,90n,,,600m,,600m,,0.0004872,44450000000.0,0.7787,CD_resistive_bias,0.6,0.6
